<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.BTC/USD;60;20210212;10000;47100.0000000;47392.7200000;46513.8200000;46889.9100000;340
BTSX.BTC/USD;60;20210212;20000;46931.5000000;47773.9800000;46922.0300000;47754.9800000;45
BTSX.BTC/USD;60;20210212;30000;47750.7600000;48123.4500000;47607.4000000;47981.4800000;77
BTSX.BTC/USD;60;20210212;40000;48044.8800000;49000.0000000;47783.2400000;47990.2200000;293
BTSX.BTC/USD;60;20210212;50000;48003.8800000;48559.1900000;47741.6000000;48524.3700000;107
BTSX.BTC/USD;60;20210212;60000;48470.2400000;48470.2400000;47781.8800000;47965.4800000;38
BTSX.BTC/USD;60;20210212;70000;47956.2500000;48027.5700000;47432.9400000;47624.5600000;77
BTSX.BTC/USD;60;20210212;80000;47617.1700000;47617.1700000;46892.3500000;47350.3300000;110
BTSX.BTC/USD;60;20210212;90000;47274.4000000;47547.4200000;47117.0800000;47299.6800000;73
BTSX.BTC/USD;60;20210212;100000;47290.0000000;47586.0700000;46816.6500000;47436.6400000;55
BTSX.BTC/USD;60;20210212;110000;47430.0000000;47512.5900000;46940.2200000;47374.5100000;99
BTSX.BTC/USD;60;20210212;120000;47344.1600000;47750.0000000;47127.4200000;47180.0200000;98
BTSX.BTC/USD;60;20210212;130000;47180.0200000;47457.6100000;47070.6400000;47409.9000000;65
BTSX.BTC/USD;60;20210212;140000;47401.1200000;47779.2700000;47391.3300000;47442.5600000;67
BTSX.BTC/USD;60;20210212;150000;47444.4400000;48046.4900000;47354.5100000;47650.4500000;65
BTSX.BTC/USD;60;20210212;160000;47655.9000000;48037.4500000;47383.8100000;47746.7400000;144
BTSX.BTC/USD;60;20210212;170000;47747.9800000;48200.0000000;47722.1100000;47934.1800000;246
BTSX.BTC/USD;60;20210212;180000;47937.9900000;47938.0100000;46231.1600000;46636.7700000;478
BTSX.BTC/USD;60;20210212;190000;46616.9700000;47249.0000000;46596.7000000;47136.3700000;234
BTSX.BTC/USD;60;20210212;200000;47136.3700000;48034.4900000;47096.8400000;47658.8000000;97
BTSX.BTC/USD;60;20210212;210000;47661.1600000;47962.2900000;47503.8900000;47796.1900000;72
BTSX.BTC/USD;60;20210212;220000;47788.2900000;47878.6200000;46941.9600000;47312.3400000;153
BTSX.BTC/USD;60;20210212;230000;47313.1100000;47517.9000000;47170.0000000;47359.7900000;70
BTSX.BTC/USD;60;20210213;0;47341.0300000;47730.0200000;47233.4500000;47674.5300000;46
BTSX.BTC/USD;60;20210213;10000;47681.6200000;48219.0000000;47641.6000000;47943.8000000;76
BTSX.BTC/USD;60;20210213;20000;47999.9000000;48040.7000000;47697.4500000;47937.9300000;32
BTSX.BTC/USD;60;20210213;30000;47965.4500000;47987.6100000;47233.6400000;47395.8400000;143
BTSX.BTC/USD;60;20210213;40000;47424.2500000;47670.2400000;47310.0000000;47562.0700000;48
BTSX.BTC/USD;60;20210213;50000;47544.6600000;47877.8200000;47520.3900000;47711.5600000;64
BTSX.BTC/USD;60;20210213;60000;47723.2900000;48010.8700000;47590.1400000;47910.2300000;44
BTSX.BTC/USD;60;20210213;70000;47925.2600000;48220.0000000;47796.0900000;47923.4500000;43
BTSX.BTC/USD;60;20210213;80000;47926.0600000;48005.9500000;47705.0000000;47999.7300000;45
BTSX.BTC/USD;60;20210213;90000;47988.2200000;48008.4400000;47520.0000000;47974.5600000;78
BTSX.BTC/USD;60;20210213;100000;47974.5600000;47996.3900000;47587.3100000;47832.2700000;48
BTSX.BTC/USD;60;20210213;110000;47821.8200000;47895.2000000;47074.4300000;47074.4300000;75
BTSX.BTC/USD;60;20210213;120000;47065.6000000;47587.0000000;46710.0000000;47544.8600000;149
BTSX.BTC/USD;60;20210213;130000;47524.2800000;47666.3100000;47116.8800000;47260.9100000;63
BTSX.BTC/USD;60;20210213;140000;47260.9900000;47303.2700000;46133.0000000;46535.4300000;456
